Network_Code, Route_Code, Route_Direction, Segment, Sequence, Latitude, Longitude, Elevation
reseau_2012, D, A,33,  10, 6.139144, 46.20407, 0

reseau_2012, D, A,33,  11, 6.139136, 46.20407, 0

reseau_2012, D, A,33,  12, 6.139129, 46.20406, 0

reseau_2012, D, A,33,  13, 6.139122, 46.20406, 0

reseau_2012, D, A,33,  14, 6.139117, 46.20404, 0

reseau_2012, D, A,33,  15, 6.139112, 46.20404, 0

reseau_2012, D, A,33,  16, 6.139109, 46.20403, 0

reseau_2012, D, A,33,  17, 6.139107, 46.20402, 0

reseau_2012, D, A,33,  18, 6.139106, 46.20401, 0

reseau_2012, D, A,33,  19, 6.139106, 46.204, 0

reseau_2012, D, A,33,  20, 6.139146, 46.20367, 0

reseau_2012, D, A,33,  21, 6.139118, 46.2036, 0

reseau_2012, D, A,33,  22, 6.139065, 46.20353, 0

reseau_2012, D, A,33,  23, 6.138985, 46.20348, 0

reseau_2012, D, A,33,  24, 6.134459, 46.20314, 0

reseau_2012, D, A,33,  25, 6.133917, 46.2031, 0

reseau_2012, D, A,33,  26, 6.133216, 46.20298, 0

reseau_2012, D, A,34,  0, 6.141808, 46.20416, 0

reseau_2012, D, A,34,  1, 6.141236, 46.20413, 0

reseau_2012, D, A,35,  0, 6.142963, 46.20387, 0

reseau_2012, D, A,35,  1, 6.142912, 46.20408, 0

reseau_2012, D, A,36,  0, 6.141236, 46.20413, 0

reseau_2012, D, A,36,  1, 6.14105, 46.20413, 0

reseau_2012, D, A,36,  2, 6.14084, 46.20413, 0

reseau_2012, D, A,36,  3, 6.140374, 46.20412, 0

reseau_2012, D, A,37,  0, 6.142912, 46.20408, 0

reseau_2012, D, A,37,  1, 6.142887, 46.20414, 0

reseau_2012, D, A,37,  2, 6.142843, 46.20419, 0

reseau_2012, D, A,37,  3, 6.142773, 46.20425, 0

reseau_2012, D, A,37,  4, 6.142723, 46.20428, 0

reseau_2012, D, A,37,  5, 6.142648, 46.2043, 0

reseau_2012, D, A,38,  0, 6.128534, 46.17885, 0

reseau_2012, D, A,38,  1, 6.128546, 46.17869, 0

reseau_2012, D, A,38,  2, 6.128575, 46.17855, 0

reseau_2012, D, A,39,  0, 6.133216, 46.20298, 0

reseau_2012, D, A,39,  1, 6.131828, 46.2027, 0

reseau_2012, D, A,39,  2, 6.131643, 46.20266, 0

reseau_2012, D, A,39,  3, 6.131505, 46.20261, 0

reseau_2012, D, A,39,  4, 6.131354, 46.20248, 0

reseau_2012, D, A,40,  0, 6.131354, 46.20248, 0

reseau_2012, D, A,40,  1, 6.131025, 46.20212, 0

reseau_2012, D, A,40,  2, 6.130315, 46.20141, 0

reseau_2012, D, A,40,  3, 6.130005, 46.20115, 0

reseau_2012, D, A,41,  0, 6.130005, 46.20115, 0

reseau_2012, D, A,41,  1, 6.129706, 46.2009, 0

reseau_2012, D, A,42,  0, 6.128967, 46.20015, 0

reseau_2012, D, A,42,  1, 6.128928, 46.20007, 0

reseau_2012, D, A,42,  2, 6.128821, 46.19983, 0

reseau_2012, D, A,42,  3, 6.128255, 46.19925, 0

reseau_2012, D, A,42,  4, 6.128121, 46.19905, 0

reseau_2012, D, A,42,  5, 6.128001, 46.19879, 0

reseau_2012, D, A,42,  6, 6.12787, 46.19821, 0

reseau_2012, D, A,42,  7, 6.127741, 46.19753, 0

reseau_2012, D, A,42,  8, 6.127758, 46.19718, 0

reseau_2012, D, A,42,  9, 6.127969, 46.19658, 0

reseau_2012, D, A,43,  0, 6.129286, 46.20046, 0

reseau_2012, D, A,43,  1, 6.128967, 46.20015, 0

reseau_2012, D, A,44,  0, 6.129706, 46.2009, 0

reseau_2012, D, A,44,  1, 6.129608, 46.2008, 0

reseau_2012, D, A,44,  2, 6.129286, 46.20046, 0

reseau_2012, D, A,45,  0, 6.143677, 46.20129, 0

reseau_2012, D, A,45,  1, 6.143756, 46.20128, 0

reseau_2012, D, A,45,  2, 6.143847, 46.20129, 0

reseau_2012, D, A,45,  3, 6.143905, 46.20131, 0

reseau_2012, D, A,45,  4, 6.143927, 46.20135, 0

reseau_2012, D, A,45,  5, 6.143916, 46.20143, 0

reseau_2012, D, A,46,  0, 6.143764, 46.20177, 0

reseau_2012, D, A,46,  1, 6.143631, 46.2021, 0

reseau_2012, D, A,46,  2, 6.14319, 46.20311, 0

reseau_2012, D, A,46,  3, 6.143184, 46.20316, 0

reseau_2012, D, A,46,  4, 6.143033, 46.20354, 0

reseau_2012, D, A,46,  5, 6.143023, 46.20359, 0

reseau_2012, D, A,46,  6, 6.143018, 46.20365, 0

reseau_2012, D, A,47,  0, 6.142648, 46.2043, 0

reseau_2012, D, A,47,  1, 6.141808, 46.20416, 0

reseau_2012, D, A,48,  0, 6.143916, 46.20143, 0

reseau_2012, D, A,48,  1, 6.143876, 46.20152, 0

reseau_2012, D, A,49,  0, 6.143018, 46.20365, 0

reseau_2012, D, A,49,  1, 6.142963, 46.20387, 0

reseau_2012, D, A,50,  0, 6.143876, 46.20152, 0

reseau_2012, D, A,50,  1, 6.143764, 46.20177, 0

reseau_2012, D, A,51,  0, 6.085285, 46.14274, 0

reseau_2012, D, A,51,  1, 6.085418, 46.14243, 0

reseau_2012, D, A,51,  2, 6.083121, 46.14141, 0

reseau_2012, D, A,51,  3, 6.081191, 46.1403, 0

reseau_2012, D, A,51,  4, 6.080741, 46.14025, 0

reseau_2012, D, A,51,  5, 6.080243, 46.14039, 0

reseau_2012, D, A,51,  6, 6.079906, 46.14059, 0

reseau_2012, D, A,52,  0, 6.085656, 46.14807, 0

reseau_2012, D, A,52,  1, 6.085478, 46.14777, 0

reseau_2012, D, A,52,  2, 6.084641, 46.14706, 0

reseau_2012, D, A,52,  3, 6.083603, 46.14613, 0

reseau_2012, D, A,52,  4, 6.082931, 46.14561, 0

reseau_2012, 11, A,0,  0, 6.127043, 46.21072, 0

reseau_2012, 11, A,0,  1, 6.127055, 46.21062, 0

reseau_2012, 11, A,0,  2, 6.127003, 46.21005, 0

reseau_2012, 11, A,0,  3, 6.12693, 46.20916, 0

reseau_2012, 11, A,0,  4, 6.126874, 46.20861, 0

reseau_2012, 11, A,0,  5, 6.126859, 46.20849, 0

reseau_2012, 11, A,0,  6, 6.126839, 46.20845, 0

reseau_2012, 11, A,0,  7, 6.126801, 46.20839, 0

reseau_2012, 11, A,0,  8, 6.126729, 46.2083, 0

reseau_2012, 11, A,0,  9, 6.12668, 46.20826, 0

reseau_2012, 11, A,0,  10, 6.126626, 46.20821, 0

reseau_2012, 11, A,0,  11, 6.126588, 46.20816, 0

reseau_2012, 11, A,0,  12, 6.126574, 46.20812, 0

reseau_2012, 11, A,0,  13, 6.126584, 46.20807, 0

reseau_2012, 11, A,0,  14, 6.126615, 46.20802, 0

reseau_2012, 11, A,0,  15, 6.126656, 46.20798, 0

reseau_2012, 11, A,0,  16, 6.126844, 46.20784, 0

reseau_2012, 11, A,0,  17, 6.127265, 46.20764, 0

reseau_2012, 11, A,0,  18, 6.127382, 46.20758, 0

reseau_2012, 11, A,1,  0, 6.130546, 46.21553, 0

reseau_2012, 11, A,1,  1, 6.130442, 46.21536, 0

reseau_2012, 11, A,1,  2, 6.129565, 46.21388, 0

reseau_2012, 11, A,2,  0, 6.132306, 46.20533, 0

reseau_2012, 11, A,2,  1, 6.132561, 46.2054, 0

reseau_2012, 11, A,3,  0, 6.127989, 46.20466, 0

reseau_2012, 11, A,3,  1, 6.129453, 46.20488, 0

reseau_2012, 11, A,3,  2, 6.130303, 46.205, 0

reseau_2012, 11, A,3,  3, 6.130901, 46.20508, 0

reseau_2012, 11, A,3,  4, 6.131424, 46.20515, 0

reseau_2012, 11, A,3,  5, 6.131571, 46.20517, 0

reseau_2012, 11, A,4,  0, 6.137526, 46.18366, 0

reseau_2012, 11, A,4,  1, 6.137626, 46.18366, 0

reseau_2012, 11, A,4,  2, 6.137684, 46.18363, 0

reseau_2012, 11, A,4,  3, 6.137806, 46.18306, 0

reseau_2012, 11, A,4,  4, 6.137882, 46.18299, 0

reseau_2012, 11, A,4,  5, 6.13802, 46.18297, 0

reseau_2012, 11, A,4,  6, 6.139478, 46.18312, 0

reseau_2012, 11, A,5,  0, 6.145781, 46.18431, 0

