year,month,day,agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop
12,10,1,VBZ,20121001,10,12,72372,1,7,6508,GLIN07,"Glattbrugg, Lindberghplatz",COBRA,VBZ Tram Cobra,3066,75,75,0,9,4,30
12,10,1,VBZ,20121001,10,17,58410,1,7,1334,IRCH,"ZÃ¼rich, UniversitÃ¤t Irchel",COBRA,VBZ Tram Cobra,3065,87,87,0,7,4,18
12,10,1,VBZ,20121001,10,12,22062,1,7,6508,GLIN07,"Glattbrugg, Lindberghplatz",COBRA,VBZ Tram Cobra,3066,107,107,0,14,2,30
12,10,1,VBZ,20121001,10,12,62862,1,7,6508,GLIN07,"Glattbrugg, Lindberghplatz",COBRA,VBZ Tram Cobra,3066,205,205,0,19,6,52
12,10,1,VBZ,20121001,10,12,87360,1,7,1334,IRCH,"ZÃ¼rich, UniversitÃ¤t Irchel",COBRA,VBZ Tram Cobra,3066,13,13,0,0,0,5
12,10,1,VBZ,20121001,10,12,57162,1,7,6508,GLIN07,"Glattbrugg, Lindberghplatz",COBRA,VBZ Tram Cobra,3066,106,106,0,10,1,20
12,10,1,VBZ,20121001,10,17,66762,1,7,6508,GLIN07,"Glattbrugg, Lindberghplatz",COBRA,VBZ Tram Cobra,3065,163,163,0,13,0,36
12,10,1,VBZ,20121001,10,12,37482,1,7,6508,GLIN07,"Glattbrugg, Lindberghplatz",COBRA,VBZ Tram Cobra,3066,131,131,0,5,5,30
12,10,1,VBZ,20121001,10,17,66762,1,8,6461,GGLA07,Glattpark,COBRA,VBZ Tram Cobra,3065,163,163,0,7,0,43
12,10,1,VBZ,20121001,10,12,62862,1,8,6461,GGLA07,Glattpark,COBRA,VBZ Tram Cobra,3066,205,205,0,12,5,59
12,10,1,VBZ,20121001,10,12,37482,1,8,6461,GGLA07,Glattpark,COBRA,VBZ Tram Cobra,3066,131,131,0,10,2,38
12,10,1,VBZ,20121001,10,17,58410,1,8,1507,LANM,"ZÃ¼rich, Langmauerstrasse",COBRA,VBZ Tram Cobra,3065,87,87,0,4,0,22
12,10,1,VBZ,20121001,10,12,82272,1,8,6461,GGLA07,Glattpark,COBRA,VBZ Tram Cobra,3066,41,41,0,0,0,10
12,10,1,VBZ,20121001,10,12,87360,1,8,1507,LANM,"ZÃ¼rich, Langmauerstrasse",COBRA,VBZ Tram Cobra,3066,13,13,0,0,0,5
12,10,1,VBZ,20121001,10,12,22062,1,8,6461,GGLA07,Glattpark,COBRA,VBZ Tram Cobra,3066,107,107,0,1,0,31
12,10,1,VBZ,20121001,10,12,72372,1,8,6461,GGLA07,Glattpark,COBRA,VBZ Tram Cobra,3066,75,75,0,8,2,36
12,10,1,VBZ,20121001,10,12,27582,1,8,6461,GGLA07,Glattpark,COBRA,VBZ Tram Cobra,3066,312,312,0,8,14,61
12,10,1,VBZ,20121001,10,12,47382,1,8,6461,GGLA07,Glattpark,COBRA,VBZ Tram Cobra,3066,216,216,0,4,9,32
12,10,1,VBZ,20121001,10,12,57162,1,8,6461,GGLA07,Glattpark,COBRA,VBZ Tram Cobra,3066,106,106,0,8,1,27
12,10,1,VBZ,20121001,10,12,87360,1,9,1550,LETZ,"ZÃ¼rich, Letzistrasse",COBRA,VBZ Tram Cobra,3066,13,13,0,0,1,4
12,10,1,VBZ,20121001,10,17,66762,1,9,6459,ZOER,"ZÃ¼rich, Oerlikerhus",COBRA,VBZ Tram Cobra,3065,163,163,0,10,2,51
12,10,1,VBZ,20121001,10,12,57162,1,9,6459,ZOER,"ZÃ¼rich, Oerlikerhus",COBRA,VBZ Tram Cobra,3066,106,106,0,5,0,32
12,10,1,VBZ,20121001,10,12,62862,1,9,6459,ZOER,"ZÃ¼rich, Oerlikerhus",COBRA,VBZ Tram Cobra,3066,205,205,0,16,4,71
12,10,1,VBZ,20121001,10,12,72372,1,9,6459,ZOER,"ZÃ¼rich, Oerlikerhus",COBRA,VBZ Tram Cobra,3066,75,75,0,4,4,36
