serviceDate;routeId;runId;tripStart;direction;stopSequenceNr;stopId;stopNameShort;stopName;vehicleTypeShort;vehicleType;vehicleNumber;passengersBoardingTrip;passengersAlightingTrip;passengersDifferenceTrip;passengersBoardingStop;passengersAlightingStop;passengerLoadStop
20121001;"2";"01";33690;2;14;478;"BEZI";"Zürich, Bezirksgebäude";"COBRA";"VBZ Tram Cobra";"3026";172;172;0;2;4;32
20121001;"2";"01";33690;2;15;1357;"KALK";"Zürich, Kalkbreite";"COBRA";"VBZ Tram Cobra";"3026";172;172;0;9;2;39
20121001;"2";"01";33690;2;16;1579;"LOCH";"Zürich, Lochergut";"COBRA";"VBZ Tram Cobra";"3026";172;172;0;8;4;43
20121001;"2";"01";33690;2;17;3019;"ZYPR";"Zürich, Zypressenstrasse";"COBRA";"VBZ Tram Cobra";"3026";172;172;0;3;3;43
20121001;"2";"01";33690;2;18;48;"ALBP";"Zürich, Albisriederplatz";"COBRA";"VBZ Tram Cobra";"3026";172;172;0;35;16;62
20121001;"2";"01";33690;2;19;1548;"LETG";"Zürich, Letzigrund";"COBRA";"VBZ Tram Cobra";"3026";172;172;0;3;3;62
20121001;"2";"01";33690;2;20;883;"FREI";"Zürich, Freihofstrasse";"COBRA";"VBZ Tram Cobra";"3026";172;172;0;7;8;61
20121001;"2";"01";33690;2;21;1364;"KAPP";"Zürich, Kappeli";"COBRA";"VBZ Tram Cobra";"3026";172;172;0;5;22;44
20121001;"2";"01";33690;2;22;1026;"GRIM";"Zürich, Grimselstrasse";"COBRA";"VBZ Tram Cobra";"3026";172;172;0;2;14;32
20121001;"2";"01";33690;2;23;1570;"LIND";"Zürich, Lindenplatz";"COBRA";"VBZ Tram Cobra";"3026";172;172;0;9;22;19
20121001;"2";"01";33690;2;24;137;"BACH";"Zürich, Bachmattstrasse";"COBRA";"VBZ Tram Cobra";"3026";172;172;0;0;4;15
20121001;"2";"01";33690;2;25;821;"FARB";"Zürich, Farbhof";"COBRA";"VBZ Tram Cobra";"3026";172;172;0;0;15;0
20121001;"2";"01";35880;1;1;821;"FARB";"Zürich, Farbhof";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;21;0;21
20121001;"2";"01";35880;1;2;137;"BACH";"Zürich, Bachmattstrasse";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;4;1;24
20121001;"2";"01";35880;1;3;1570;"LIND";"Zürich, Lindenplatz";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;31;10;45
20121001;"2";"01";35880;1;4;1026;"GRIM";"Zürich, Grimselstrasse";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;5;1;49
20121001;"2";"01";35880;1;5;1364;"KAPP";"Zürich, Kappeli";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;9;4;54
20121001;"2";"01";35880;1;6;883;"FREI";"Zürich, Freihofstrasse";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;25;4;75
20121001;"2";"01";35880;1;7;1548;"LETG";"Zürich, Letzigrund";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;6;4;77
20121001;"2";"01";35880;1;8;48;"ALBP";"Zürich, Albisriederplatz";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;8;14;71
20121001;"2";"01";35880;1;9;3019;"ZYPR";"Zürich, Zypressenstrasse";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;3;6;68
20121001;"2";"01";35880;1;10;1579;"LOCH";"Zürich, Lochergut";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;2;3;67
20121001;"2";"01";35880;1;11;1357;"KALK";"Zürich, Kalkbreite";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;3;8;62
20121001;"2";"01";35880;1;12;478;"BEZI";"Zürich, Bezirksgebäude";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;1;1;62
20121001;"2";"01";35880;1;13;2556;"STAU";"Zürich, Stauffacher";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;24;13;73
20121001;"2";"01";35880;1;14;2396;"SIHS";"Zürich, Sihlstrasse";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;2;14;61
20121001;"2";"01";35880;1;15;1861;"PARA";"Zürich, Paradeplatz";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;0;25;36
20121001;"2";"01";35880;1;16;601;"BOES";"Zürich, Börsenstrasse";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;1;2;35
20121001;"2";"01";35880;1;17;615;"BURK";"Zürich, Bürkliplatz";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;6;1;40
20121001;"2";"01";35880;1;18;440;"BELL";"Zürich, Bellevue";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;21;23;38
20121001;"2";"01";35880;1;19;1845;"OPER";"Zürich, Opernhaus";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;10;5;43
20121001;"2";"01";35880;1;20;1456;"KRES";"Zürich, Kreuzstrasse";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;5;9;39
20121001;"2";"01";35880;1;21;832;"FELD";"Zürich, Feldeggstrasse";"COBRA";"VBZ Tram Cobra";"3026";191;191;0;1;3;37
