routeNumber,runNumber,stopSequenceNr,stopId,stopNumber,stopNameShort,arrivalScheduled,arrivalActual,departureActual,mileage,vehicleId,vehicleNumber,latitude,longitude
2,2,24,2818,137,BACH,31638,31681,31694,1519627446,700,2049,8.48299583333333,47.3889858333333
2,5,9,2590,615,BURK,31644,31650,31665,360976924,825,3016,8.54176583333333,47.3666086111111
2,1,5,2244,1364,KAPP,31650,31711,31726,329228786,834,3026,8.49511694444444,47.3850619444444
9,1,4,2729,1590,LUEG,31656,31715,31730,1124591480,756,2111,8.58156027777778,47.4059444444444
2,11,11,1906,1357,KALK,31662,31697,31711,333230816,840,3033,8.52153222222222,47.3742838888889
2,9,15,1528,1861,PARA,31668,31743,31765,337381875,968,3029,8.53938055555555,47.3697255555556
4,2,24,2680,917,FROE,31674,31831,31845,1482136667,705,2054,8.55700111111111,47.355065
3,5,6,2641,1724,NEUM,31680,31757,31771,352467791,822,3013,8.54739888888889,47.3726444444444
3,10,6,1535,48,ALBP,31686,31701,31720,230668615,814,3005,8.51051388888889,47.3781736111111
2,6,5,2689,832,FELD,31692,31715,31733,1460076834,720,2071,8.55231833333333,47.3602916666667
3,8,15,1938,619,CENT,31698,31766,31788,1381008751,709,2058,8.544565,47.3764586111111
2,3,19,2245,1548,LETG,31704,31674,31693,350013514,837,3030,8.50382,47.3811588888889
2,2,25,1310,821,FARB,31710,31761,31833,1519627821,700,2049,8.47936138888889,47.3907547222222
2,8,20,2612,1456,KRES,31716,31743,31761,1462644723,714,2065,8.54991055555556,47.3629144444444
2,1,6,2253,883,FREI,31722,31779,31801,329229215,834,3026,8.49987083333333,47.3830302777778
7,12,32,2316,2575,BSTE,31728,31871,32212,1557944444,962,2085,8.59663166666667,47.3970961111111
4,2,25,2651,2907,WILD,31734,31887,31900,1482136941,705,2054,8.5588925,47.3531038888889
2,5,10,2228,601,BOES,31740,31749,31760,360977179,825,3016,8.53984277777778,47.3683719444444
4,4,14,1542,413,BQUA,31746,31802,31824,1445066538,711,2061,8.54203305555555,47.3776161111111
5,7,10,1893,3026,ENGE,31752,31878,31906,1462446704,740,2094,8.53190444444444,47.3641386111111
4,6,3,2740,7,AARG,31758,31791,31803,364768668,838,3031,8.50270361111111,47.3922511111111
3,10,7,2250,3019,ZYPR,31764,31771,31793,230668935,814,3005,8.51399138888889,47.3765941666667
2,6,6,2612,1456,KRES,31770,31792,31809,1460077179,720,2071,8.54991055555556,47.3629144444444
2,3,20,2253,883,FREI,31776,31739,31760,350013890,837,3030,8.49987083333333,47.3830302777778
3,2,21,2810,47,ALBR,31782,31896,32168,1496099543,713,2064,8.48507888888889,47.3743230555556
7,11,2,2356,1620,MATT,31788,31801,31814,1087095569,751,2105,8.59114055555555,47.3986172222222
2,1,7,2245,1548,LETG,31794,31850,31869,329229591,834,3026,8.50382,47.3811588888889
2,5,11,1528,1861,PARA,31800,31813,31833,360977370,825,3016,8.53938055555555,47.3697255555556
2,4,15,1906,1357,KALK,31806,31801,31824,1438889475,961,2062,8.52153222222222,47.3742838888889
13,7,8,1852,199,BEDE,31812,31768,31786,339635141,839,3032,8.53062972222222,47.3646005555556
3,7,21,1905,1430,KLUS,31818,31912,32191,210737674,812,3002,8.56673861111111,47.3642266666667
4,3,20,2104,1845,OPER,31824,31823,31842,354948450,821,3012,8.54772305555556,47.3653102777778
2,2,1,1310,821,FARB,31830,31851,31851,1519627863,700,2049,8.47936138888889,47.3907547222222
6,10,4,2414,2582,STOC,31836,31875,31932,318407129,852,3045,8.53619333333333,47.3679658333333
2,6,7,2104,1845,OPER,31842,31899,31918,1460077539,720,2071,8.54772305555556,47.3653102777778
2,3,21,2244,1364,KAPP,31848,31818,31842,350014320,837,3030,8.49511694444444,47.3850619444444
5,1,7,1565,440,BELL,31854,31844,31882,1475870789,948,2090,8.54582055555556,47.3667766666667
2,9,17,2590,615,BURK,31860,31919,31930,337382341,968,3029,8.54176583333333,47.3666086111111
2,8,22,2615,1286,HOES,31866,31878,31894,1462645434,714,2065,8.55483611111111,47.3578836111111
7,7,23,1893,3026,ENGE,31872,31918,31939,1072259842,760,2117,8.53190444444444,47.3641386111111
2,1,8,1535,48,ALBP,31878,31941,31965,329230191,834,3026,8.51051388888889,47.3781736111111
2,2,2,2818,137,BACH,31884,31892,31905,1519628186,700,2049,8.48299583333333,47.3889858333333
2,7,1,2788,3041,BTIE,31890,31898,31898,348587757,832,3024,8.56126166666667,47.3499594444444
3,3,17,2582,1446,KSIH,31896,31948,31961,219289318,813,3004,8.50801611111111,47.3777561111111
4,5,11,2287,1557,LIMM,31902,31918,31945,366645407,816,3007,8.53227916666667,47.384995
4,11,10,2774,2030,RATH,31908,31953,31964,356142465,831,3023,8.54288833333333,47.3722288888889
4,8,26,2536,5001,BALN,31914,32113,32540,1417212632,706,2055,8.49052777777778,47.3921108333333
2,5,12,2657,2396,SIHS,31920,31912,31925,360977827,825,3016,8.53512555555556,47.37206
6,10,5,1528,1861,PARA,31926,31999,32026,318407437,852,3045,8.53938055555555,47.3697255555556
2,2,3,2535,1570,LIND,31932,31954,31973,1519628478,700,2049,8.48684527777778,47.3887352777778
4,9,20,2893,6759,SBAU,31938,31883,31905,335999405,815,3006,8.5201875,47.3882838888889
2,3,22,2770,1026,GRIM,31944,31911,31924,350014743,837,3030,8.49031888888889,47.3868955555556
2,7,2,2651,2907,WILD,31950,31957,31967,348588093,832,3024,8.5588925,47.3531038888889
2,1,9,2250,3019,ZYPR,31956,32016,32031,329230516,834,3026,8.51399138888889,47.3765941666667
4,4,16,2768,2113,RBRU,31962,31999,32014,1445067053,711,2061,8.54299416666667,47.3741438888889
2,6,8,1565,440,BELL,31968,32057,32090,1460077802,720,2071,8.54582055555556,47.3667766666667
4,3,22,2689,832,FELD,31974,31975,32019,354949084,821,3012,8.55231833333333,47.3602916666667
2,9,18,1565,440,BELL,31980,32019,32043,337382623,968,3029,8.54582055555556,47.3667766666667
3,1,4,2871,1252,HUBE,31986,31977,31991,329773680,848,3041,8.49953694444445,47.3768897222222
6,7,7,1895,416,BSTR,31992,32072,32107,317558295,856,3049,8.53957,47.3763352777778
3,8,18,2870,1251,HOTT,31998,32088,32103,1381010006,709,2058,8.55527222222222,47.3692313888889
2,2,4,2770,1026,GRIM,32004,32020,32033,1519628795,700,2049,8.49031888888889,47.3868955555556
2,7,3,2680,917,FROE,32010,32018,32041,348588366,832,3024,8.55700111111111,47.355065
2,3,23,2535,1570,LIND,32016,31977,32014,350015059,837,3030,8.48684527777778,47.3887352777778
2,1,10,2248,1579,LOCH,32022,32075,32095,329230831,834,3026,8.51772777777778,47.3753444444444
4,4,17,2774,2030,RATH,32028,32053,32068,1445067265,711,2061,8.54288833333333,47.3722288888889
3,5,9,2256,1608,LOEW,32034,32109,32125,352468942,822,3013,8.537525,47.3760488888889
2,4,18,1535,48,ALBP,32040,32026,32047,1438890399,961,2062,8.51051388888889,47.3781736111111
4,3,23,2615,1286,HOES,32046,32068,32111,354949418,821,3012,8.55483611111111,47.3578836111111
5,6,5,2781,2795,WAFF,32052,32076,32087,1414156053,743,2097,8.52691861111111,47.3624497222222
3,6,5,1305,1472,KUNS,32058,32116,32142,1429641482,717,2068,8.54916722222222,47.3704416666667
6,8,3,2508,2689,TUNN,32064,32071,32081,1001186922,748,2102,8.532945,47.3664675
2,8,25,2788,3041,BTIE,32070,32094,32332,1462646451,714,2065,8.56126166666667,47.3499594444444
2,7,4,2615,1286,HOES,32076,32104,32123,348588732,832,3024,8.55483611111111,47.3578836111111
4,1,7,2104,1845,OPER,32082,32123,32137,374163743,824,3015,8.54772305555556,47.3653102777778
2,3,24,2818,137,BACH,32088,32056,32066,350015348,837,3030,8.48299583333333,47.3889858333333
2,6,9,2590,615,BURK,32094,32261,32271,1460078105,720,2071,8.54176583333333,47.3666086111111
2,2,5,2244,1364,KAPP,32100,32106,32122,1519629219,700,2049,8.49511694444444,47.3850619444444
5,7,14,1854,2550,SAAL,32106,32225,32243,1462448065,740,2094,8.52069333333333,47.3577316666667
2,1,11,1906,1357,KALK,32112,32174,32192,329231114,834,3026,8.52153222222222,47.3742838888889
