agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop,year,month,day
VBZ,20121001,2,06,26940,2,10,601,BOES,"Zürich, Börsenstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,4,7,87,2012,10,1
VBZ,20121001,2,06,26940,2,11,1861,PARA,"Zürich, Paradeplatz",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,9,24,72,2012,10,1
VBZ,20121001,2,06,26940,2,12,2396,SIHS,"Zürich, Sihlstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,2,16,58,2012,10,1
VBZ,20121001,2,06,26940,2,13,2556,STAU,"Zürich, Stauffacher",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,20,19,59,2012,10,1
VBZ,20121001,2,06,26940,2,14,478,BEZI,"Zürich, Bezirksgebäude",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,5,15,49,2012,10,1
VBZ,20121001,2,06,26940,2,15,1357,KALK,"Zürich, Kalkbreite",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,39,7,81,2012,10,1
VBZ,20121001,2,06,26940,2,16,1579,LOCH,"Zürich, Lochergut",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,4,0,85,2012,10,1
VBZ,20121001,2,06,26940,2,17,3019,ZYPR,"Zürich, Zypressenstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,7,0,92,2012,10,1
VBZ,20121001,2,06,26940,2,18,48,ALBP,"Zürich, Albisriederplatz",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,26,16,102,2012,10,1
VBZ,20121001,2,06,26940,2,19,1548,LETG,"Zürich, Letzigrund",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,6,5,103,2012,10,1
VBZ,20121001,2,06,26940,2,20,883,FREI,"Zürich, Freihofstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,5,12,96,2012,10,1
VBZ,20121001,2,06,26940,2,21,1364,KAPP,"Zürich, Kappeli",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,5,56,45,2012,10,1
VBZ,20121001,2,06,26940,2,22,1026,GRIM,"Zürich, Grimselstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,0,8,37,2012,10,1
VBZ,20121001,2,06,26940,2,23,1570,LIND,"Zürich, Lindenplatz",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,2,21,18,2012,10,1
VBZ,20121001,2,06,26940,2,24,137,BACH,"Zürich, Bachmattstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,1,4,15,2012,10,1
VBZ,20121001,2,06,26940,2,25,821,FARB,"Zürich, Farbhof",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,0,15,0,2012,10,1
VBZ,20121001,2,06,29160,1,1,821,FARB,"Zürich, Farbhof",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,26,0,26,2012,10,1
VBZ,20121001,2,06,29160,1,2,137,BACH,"Zürich, Bachmattstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,12,1,37,2012,10,1
VBZ,20121001,2,06,29160,1,3,1570,LIND,"Zürich, Lindenplatz",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,30,3,64,2012,10,1
VBZ,20121001,2,06,29160,1,4,1026,GRIM,"Zürich, Grimselstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,12,3,73,2012,10,1
VBZ,20121001,2,06,29160,1,5,1364,KAPP,"Zürich, Kappeli",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,34,8,99,2012,10,1
VBZ,20121001,2,06,29160,1,6,883,FREI,"Zürich, Freihofstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,25,1,123,2012,10,1
VBZ,20121001,2,06,29160,1,7,1548,LETG,"Zürich, Letzigrund",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,16,0,139,2012,10,1
