tripStart,routeName,routeVLD,runNumber,direction,stopId,stopNameShort,stopName,arrivalScheduled,departureScheduled,departureActual
38190,2,531,1,2,1565,BELL,Zürich Bellevue,38718,38772,38742
38190,2,531,1,2,2590,BURK,Zürich Bürkliplatz,38844,38904,38910
38190,2,531,1,2,2228,BOES,Zürich Börsenstrasse,38940,38970,39000
38190,2,531,1,2,1528,PARA,Zürich Paradeplatz,39000,39060,39071
38190,2,531,1,2,2657,SIHS,Zürich Sihlstrasse,39120,39168,39167
38190,2,531,1,2,1502,STAU,Zürich Stauffacher,39240,39330,39368
38190,2,531,1,2,1306,BEZI,Zürich Bezirksgebäude,39384,39426,39435
38190,2,531,1,2,1906,KALK,Zürich Kalkbreite,39462,39498,39532
38190,2,531,1,2,2248,LOCH,Zürich Lochergut,39546,39576,39622
38190,2,531,1,2,2250,ZYPR,Zürich Zypressenstrasse,39618,39648,39687
38190,2,531,1,2,1535,ALBP,Zürich Albisriederplatz,39702,39750,39773
38190,2,531,1,2,2245,LETG,Zürich Letzigrund,39810,39834,39871
38190,2,531,1,2,2253,FREI,Zürich Freihofstrasse,39882,39906,39941
38190,2,531,1,2,2244,KAPP,Zürich Kappeli,39954,39972,40010
38190,2,531,1,2,2770,GRIM,Zürich Grimselstrasse,40044,40062,40096
38190,2,531,1,2,2535,LIND,Zürich Lindenplatz,40116,40140,40173
38190,2,531,1,2,2818,BACH,Zürich Bachmattstrasse,40182,40200,40222
38190,2,531,1,2,1310,FARB,Zürich Farbhof,40254,40254,40392
40380,2,531,1,1,1310,FARB,Zürich Farbhof,40380,40380,40409
40380,2,531,1,1,2818,BACH,Zürich Bachmattstrasse,40434,40452,40464
40380,2,531,1,1,2535,LIND,Zürich Lindenplatz,40482,40512,40532
40380,2,531,1,1,2770,GRIM,Zürich Grimselstrasse,40554,40584,40595
40380,2,531,1,1,2244,KAPP,Zürich Kappeli,40650,40674,40692
40380,2,531,1,1,2253,FREI,Zürich Freihofstrasse,40722,40746,40767
40380,2,531,1,1,2245,LETG,Zürich Letzigrund,40794,40818,40836
40380,2,531,1,1,1535,ALBP,Zürich Albisriederplatz,40878,40920,40933
40380,2,531,1,1,2250,ZYPR,Zürich Zypressenstrasse,40956,40986,41000
40380,2,531,1,1,2248,LOCH,Zürich Lochergut,41022,41052,41061
40380,2,531,1,1,1906,KALK,Zürich Kalkbreite,41112,41154,41168
40380,2,531,1,1,1306,BEZI,Zürich Bezirksgebäude,41190,41232,41244
40380,2,531,1,1,1502,STAU,Zürich Stauffacher,41292,41382,41413
40380,2,531,1,1,2657,SIHS,Zürich Sihlstrasse,41460,41502,41514
40380,2,531,1,1,1528,PARA,Zürich Paradeplatz,41562,41622,41648
40380,2,531,1,1,2228,BOES,Zürich Börsenstrasse,41664,41682,41707
40380,2,531,1,1,2590,BURK,Zürich Bürkliplatz,41754,41790,41794
40380,2,531,1,1,1565,BELL,Zürich Bellevue,41868,41928,41916
40380,2,531,1,1,2104,OPER,Zürich Opernhaus,41976,42012,42007
40380,2,531,1,1,2612,KRES,Zürich Kreuzstrasse,42042,42072,42073
40380,2,531,1,1,2689,FELD,Zürich Feldeggstrasse,42114,42144,42176
40380,2,531,1,1,2615,HOES,Zürich Höschgasse,42186,42216,42240
40380,2,531,1,1,2680,FROE,Zürich Fröhlichstrasse,42264,42294,42314
40380,2,531,1,1,2651,WILD,Zürich Wildbachstrasse,42324,42348,42368
40380,2,531,1,1,2788,BTIE,Zürich Bahnhof Tiefenbrunnen,42390,42390,42694
42690,2,531,1,2,2788,BTIE,Zürich Bahnhof Tiefenbrunnen,42690,42690,42706
42690,2,531,1,2,2651,WILD,Zürich Wildbachstrasse,42750,42780,42778
42690,2,531,1,2,2680,FROE,Zürich Fröhlichstrasse,42810,42840,42845
42690,2,531,1,2,2615,HOES,Zürich Höschgasse,42876,42906,42934
42690,2,531,1,2,2689,FELD,Zürich Feldeggstrasse,42942,42978,42990
42690,2,531,1,2,2612,KRES,Zürich Kreuzstrasse,43020,43044,43061
42690,2,531,1,2,2104,OPER,Zürich Opernhaus,43092,43134,43144
42690,2,531,1,2,1565,BELL,Zürich Bellevue,43218,43272,43269
42690,2,531,1,2,2590,BURK,Zürich Bürkliplatz,43344,43404,43394
