stop_seq,stop_name,passenger_on,passenger_off,passenger_load,seconds,route,latitude,longitude,trip_id,dir,vehno,timestop,timedoorclose,timepullout,doordwell,waitdwell,sincemidnight,hms,
8, BALBOA ST&37TH AVE SW-NS/PS,0,0,4,24,31,37.7757,-122.498,464,1,5500,4:44:24,4:44:24,4:44:24,00:00:00,00:00:00,17064,4:44:24
9, BALBOA ST&34TH AVE SW-NS/SB,2,0,6,57,31,37.7759,-122.494,464,1,5500,4:44:57,4:45:02,4:45:15,00:00:05,00:00:13,17097,4:44:57
47, VAN NESS AVE&BROADWAY NE-FS/,0,0,0,28,49,37.7961,-122.424,461,1,7122,4:45:28,4:45:28,4:45:28,00:00:00,00:00:00,17128,4:45:28
10, BALBOA ST&32ND AVE SW-NS/PS,0,0,6,29,31,37.776,-122.492,464,1,5500,4:45:29,4:45:29,4:45:29,00:00:00,00:00:00,17129,4:45:29
11, BALBOA ST&30TH AVE SW-NS/SB,0,0,6,56,31,37.7761,-122.49,464,1,5500,4:45:56,4:45:56,4:45:56,00:00:00,00:00:00,17156,4:45:56
12, BALBOA ST&28TH AVE SW-NS/SB,2,0,8,12,31,37.7761,-122.488,464,1,5500,4:46:12,4:46:18,4:46:30,00:00:06,00:00:12,17172,4:46:12
48, VAN NESS AVE&UNION ST SE - EOL,0,0,0,3,49,37.7984,-122.424,461,1,7122,4:47:03,4:47:03,4:47:03,00:00:00,00:00:00,17223,4:47:3
39, MISSION ST&11TH ST S-NS/PS,0,0,0,12,14,37.7742,-122.414,480,1,7118,4:47:12,4:47:12,4:47:12,00:00:00,00:00:00,17232,4:47:12
13, BALBOA ST&25TH AVE SE-FS/BZ,2,0,10,23,31,37.7763,-122.484,464,1,5500,4:47:23,4:47:29,4:47:29,00:00:06,00:00:00,17243,4:47:23
14, BALBOA ST&23RD AVE SW-NS/SB,0,1,9,55,31,37.7764,-122.482,464,1,5500,4:47:55,4:48:02,4:48:20,00:00:07,00:00:18,17275,4:47:55
15, BALBOA ST&21ST AVE SW-NS/PS,0,0,9,40,31,37.7765,-122.48,464,1,5500,4:48:40,4:48:40,4:48:40,00:00:00,00:00:00,17320,4:48:40
16, BALBOA ST&19TH AVE SW-NS/BZ,0,0,9,4,31,37.7766,-122.478,464,1,5500,4:49:04,4:49:04,4:49:04,00:00:00,00:00:00,17344,4:49:4
30, UNION ST&GOUGH ST NE-NS/BZ,0,0,0,7,41,37.7977,-122.43,9999,0,7122,4:49:07,4:49:07,4:49:07,00:00:00,00:00:00,17347,4:49:7
31, UNION ST&LAGUNA ST NE-NS/BZ,0,0,0,20,41,37.7976,-122.431,473,0,7122,4:49:20,4:49:20,4:49:20,00:00:00,00:00:00,17360,4:49:20
